TIPE;KATA;SUKU KATA;DEFINISI;KELAS KATA;CONTOH BANJAR;CONTOH INDO
UTAMA;bila II;;(BH) bela;;;
TURUNAN DARI: bila II;mambila;;membela;;kaina aku mambilanya;nanti saya membela
UTAMA;bilah;;bilah;;;
UTAMA;bilahu;;sejenis serangga hama padi, berbau busuk;;;
UTAMA;bilak;;buka (antara celah atau lobang yang sempit);;bilak pang matanya ku maobatinya;coba buka matanya saya mengobatinya
UTAMA;bilalang;;belalang;;;
UTAMA;bilang I;;boleh dikata;;bilang sarenan bagawi;boleh dikata sehari suntuk bekerja
TURUNAN DARI: bilang I;bilang hapus;;keterlaluan;;bilang hapus jua ikam ni;keterlaluan juga kau ini
UTAMA;bilang II;;;;;
TURUNAN DARI: bilang II;bilangan;;hitungan;;;
TURUNAN DARI: bilang II;babilangan;;beramal-ramalan;;;
TURUNAN DARI: bilang II;mambilangi;;meramalkan;;;
TURUNAN DARI: bilang II;tabilang;;terbilang;;;
UTAMA;bilas;;cuci (kedua kalinya);;;
TURUNAN DARI: bilas;babilas ;;membersihkan diri yang kedua kalinya dengan air bersih;;;
TURUNAN DARI: bilas;mambilasi;;mencuci dengan air bersih yang kedua kalinya;;;
UTAMA;bilis I;;nama sejenis ikan sungai kecil-kecil, yang hidupnya bergerombol;;;
UTAMA;bilis II;;bilis (sakit dan merah pada mata);;;
TURUNAN DARI: bilis II;babilisan;;bermata merah dan sakit;;;
UTAMA;biluk;;belok, kelok;;;
TURUNAN DARI: biluk;bilukan;;tikungan;;;
UTAMA;bilulang;;belulang, kulit yang keras;;;
UTAMA;bilung;;(BH) Iih belong;;;
UTAMA;bilungka;;mentimun;;;
UTAMA;bilut I;;hampir menangis, meringis;;muhanya bilut;mukanya meringis
UTAMA;bilut II;;mata pisau atau parang yang cedera karena kena besi atau benda keras;;;
UTAMA;bima;;(wayang) bima;;;
UTAMA;bimbang;;bimbang;;;
UTAMA;bin;;bin;;;
UTAMA;binalu;;benalu;;;
UTAMA;binasa;;binasa, rusak;;;
TURUNAN DARI: binasa;mambinasa;;membinasa, merusak;;saban malam babi mambinasa pahumaan ku;tiap malam babi merusak persawahanku
UTAMA;binatang;;binatang;;;
UTAMA;bincul;;benjol;;bincul kupalanya tahantup lawang;benjol kepalanya terantuk pintu
UTAMA;bingka;;(kue) bingka;;;
UTAMA;bingkah;;bingkah, bongkah;;;
UTAMA;bingkai;;bingkai;;;
UTAMA;bingkang;;bengkok;;;
UTAMA;bingkarungan;;bengkarungan, kadal;;;
UTAMA;bingkas;;lenting, ganjal;;;
TURUNAN DARI: bingkas;mambingkas;;mengganjal, melenting;;jabak ni munnya mambingkas pacah kupala tikus;perangkap ini kalau dia melenting pecah kepala tikus
UTAMA;bingkil I;;(BH) bengkel;;;
UTAMA;bingkil II;;;;;
TURUNAN DARI: bingkil II;kabingkilan;;tumbuh, membesar (untuk buah dada atau susu anak dara);;si aluh tu pina kabingkilan sudahlah;si aluh itu kelihatannya sudah bersusu ya
UTAMA;bingking;;(BH) Iih bengkeng;;;
UTAMA;bingkudu;;mengkudu;;;
UTAMA;bingsai;;terkelupas;;lintuhutnya bingsai bakas tajirungkup;lututnya terkelupas bekas terjerembab
UTAMA;bingung;;bingung;;;
UTAMA;bini;;isteri;;mana binimu? ;mana isterimu?
TURUNAN DARI: bini;babini;;beristeri, kawin;;lakasi babini;cepat beristeri
TURUNAN DARI: bini;babinian;;perempuan;;anaknya nang kadua babinian pulang lah;anaknya yang kedua perempuan lagi ya
TURUNAN DARI: bini;mambiniakan;;mengawinkan;;;
TURUNAN DARI: bini;bini-bini;;perempuan, wanita;;;
UTAMA;binian;;perempuan;;;
UTAMA;binit;;(BH) bayonet, sangkur;;;
UTAMA;binjai;;nama sejenis buah;;;
UTAMA;binjul;;(BH) benjol;;;
UTAMA;binsin;;(BH) bensin;;;
UTAMA;bintang;;bintang;;;
UTAMA;bintat;;terkelupas, luka kecil (karna terkena sesuatu benda keras);;;
UTAMA;bintih;;(BH) Iih benteh;;;
