TIPE;KATA;SUKU KATA;DEFINISI;KELAS KATA;CONTOH BANJAR;CONTOH INDO
UTAMA;ganggam;;n  genggam  ;;;
TURUNAN DARI: ganggam;baganggam ;;baganggam ;;tangannya baganggam, ;tangannya bergenggam  
TURUNAN DARI: ganggam;mangganggam;;v  menggenggam: ;;pisit  inya mangganggam, ;erat dia  menggenggam  
TURUNAN DARI: ganggam;saganggam;;n  segenggam ;;;
TURUNAN DARI: ganggam;ganggaman ;;ganggaman ;;;
UTAMA;gantang;;n  gantang  ;;;
TURUNAN DARI: gantang;sagantang;;segantang;;;
UTAMA;ganti;;ganti ;;ganti baju ikam jadi warna habang;ganti baju ikam jadi warna habang
TURUNAN DARI: ganti;baganti ;;v  berganti:   ;;:   ia baganti baju di kamar, ;ia berganti baju di kamar  
TURUNAN DARI: ganti;bagantian;;v   bergantian:;;kami bagantian manjaga nini nang garing;kami bergantian menjaga nenek yang sedang sakit  
TURUNAN DARI: ganti;mangganti;;v  mengganti: ;;:   inya mangganti buku kawannya nang rabit;ia mengganti buku temannya yang sobek  
UTAMA;ganting;;"genting; hampir putus (tentang tali dan sebagainya): ";;hati-hati, tali nang ikam tarik ngitu ganting sudah, ;"hati-hati, tali yang kamu tarik itu sudah genting; "
UTAMA;gantung;;v  gantung  ;;;
TURUNAN DARI: gantung;bagantung;;bagantung;;jam bagantung di tawing,;jam bergantung di dinding  
TURUNAN DARI: gantung;manggantung;;v  menggantung:   ;;inya manggantung  bajunya di paku, ;ia menggantung bajunya di paku  
TURUNAN DARI: gantung;gantungan;;n  gantungan ;;;
TURUNAN DARI: gantung;ganyau  ;;a  tidak berasa bumbunya pada masakan berkuah krn terlalu banyak memasukkan air: ;;gangannya ganyau lantaran kabanyakan banyu;sayurnya ganyau karena terlalu banyak air 
UTAMA;gapit;;v  jepit:   ;;gapit katapinya ka higa lawang,;, jepit ketapinya di samping pintu  
TURUNAN DARI: gapit;tagapit;;v  terjepit ;;;
TURUNAN DARI: gapit;manggapit ;;v  menjepit  ;;;
UTAMA;garabak;;n  tiruan bunyi benda jatuh  ;;;
TURUNAN DARI: garabak;garabakan  ;;v   berjatuhan:   ;;garabakan banyu matanya mandangar habar nitu, ;berjatuhan air  matanya mendengar  kabar itu  
TURUNAN DARI: garabak;bagarabak ;;a  ada serpihannya: ;;banyu di galas nitu bagarabak, ;air di gelas itu ada serpihannya  
UTAMA;garagaji;;n  gergaji  ;;;
UTAMA;garak;;;;;
UTAMA;garau;;"a  garau; parau:   ";;suaranya garau, ;suaranya parau  
UTAMA;garih;;n  ikan yang dibelah punggungnya lalu diasinkan dan dijemur hingga kering  ;;;
UTAMA;garing;;a  sakit:   ;;inya lagi garing, kada kawa sakulah, ;ia sedang sakit, tidak bisa sekolah  
TURUNAN DARI: garing;bagaringan;;ada yang sakit:  ;;kami kada jadi tulak, lagi bagaringan di rumah, ;kami tidak jadi berangkat, ada yang sakit di rumah  
TURUNAN DARI: garing;manggaring;;menjadi sakit: ;;  awak manggaring;badan menjadi sakit  
TURUNAN DARI: garing;garingan ;;a cak  pada sakit:  ;;:   urang higa rumah garingan, ;tetangga pada sakit  
TURUNAN DARI: garing;gagaringan;;v  sakitsakitan: ;;nini gagaringan;nenek sakit-sakitan 
UTAMA;garitik,;;;;;
TURUNAN DARI: garitik,;manggaritiki ;;"v  mengitik; menggelitik  ";;;
UTAMA;garpu;;n  garpu  ;;;
UTAMA;garunum,;;;;;
TURUNAN DARI: garunum,;manggarunum  ;;"mengomel; gerobak";;;
UTAMA;gasan;;p  untuk:   ;;hadiah gasan ikam ;hadiah untukmu  
UTAMA;guguduh;;pisang goreng;;;
UTAMA;haji;;orang yang sudah datang dari tanah suci;;;
UTAMA;halu;;alu;;;
UTAMA;haluan;;haluan;;;
UTAMA;haluat;;;;;
TURUNAN DARI: haluat;bahaluat;;mengasingkan diri (untuk beramal, bersemadi dan sebagainya);;;
UTAMA;haluk;;;;;
TURUNAN DARI: haluk;mahaluk;;(mencari ikan dengan jakan memukul air);;;
UTAMA;halukum;;jakun, lekum;;;
UTAMA;halulung;;lolong;;;
UTAMA;halus;;kecil;;;
UTAMA;halut;;ganggu;;;
UTAMA;hama;;tungau (binatang sangat kecil);;;
UTAMA;hamah;;(BH) biarlah;;;
UTAMA;hamba;;gendong (untuk anak-anak);;;
TURUNAN DARI: hamba;bahamba;;bergendong;;;
TURUNAN DARI: hamba;mahamba;;menggendong;;;
TURUNAN DARI: hamba;hambaan;;gendongan (anak-anak);;;
UTAMA;hambaling;;jatuh (terguling);;;
UTAMA;hambar;;tawar;;;
UTAMA;hambat;;pukul;;hambat ja;pukul saja
TURUNAN DARI: hambat;mahambat;;memukul;;;
TURUNAN DARI: hambat;bahambat;;pemukul;;;
UTAMA;hambawang;;(BH) (nama buah sejenis mangga);;;
UTAMA;hambayang;;(BH) bayang-bayang;;;
UTAMA;hambin;;sandang, dukung (dengan punggung);;;
TURUNAN DARI: hambin;bahambin (dalam keadaan didukung dipunggungI;;;;;
TURUNAN DARI: hambin;mahambin;;mendukung;;;
TURUNAN DARI: hambin;hambinan;;(bakul besar bertali seperti ransel);;;
UTAMA;hambit;;;;;
TURUNAN DARI: hambit;mahambit;;menganyam, membuat (atap dari daun nipah);;;
UTAMA;hambur;;hambur, tabur;;;
TURUNAN DARI: hambur;bahambur;;berhambur, bertabur;;;
TURUNAN DARI: hambur;mahambur;;menaburkan, menyebarkan;;;
TURUNAN DARI: hambur;mahamburakan;;menghamburkan;;;
TURUNAN DARI: hambur;tahambur;;terhambur;;;
TURUNAN DARI: hambur;hambur kaut;;kacau balau;;;
UTAMA;hambus;;embus;;;
UTAMA;haminta;;kotapraja;;;
UTAMA;hampa;;hampa, tidak berisi, kosong;;;
TURUNAN DARI: hampa;hampa barat;;(padi hampa, tapi masih berisi sedikit sehingga lebih berat dari yang hampa biasa);;;
UTAMA;hampadal;;(BH) empedal;;;
UTAMA;hampai;;(BH) sampai, hingga;;sudah hampai;sudah sampai
UTAMA;handak;;hendak, ingin;;;
TURUNAN DARI: handak;kahandak;;kehendak, keinginan;;apa kahandak;apa kehendak
TURUNAN DARI: handak;kahandakan;;terlalu ingin, hendak sekali;;Kahandakan belaki;terlalu ingin bersuami
TURUNAN DARI: handak;bakahandakan;;saling menghendaki;;mun sudah bekahandakan kaya itu kawinakan aj;kalau sudah saling menghendaki seperti itu kawinakan saja
UTAMA;handap;;pendek;;;
UTAMA;handapang;;sandar;;;
TURUNAN DARI: handapang;bahandapang;;bersandar;;;
UTAMA;handar;;(BH) dorong, geser;;;
TURUNAN DARI: handar;mahandar;;;;mendorong;
UTAMA;hantup;;bentur;;;
TURUNAN DARI: hantup;bahantupan;;berbenturan;;;
TURUNAN DARI: hantup;tahantup;;terantuk, terbentur;;;
UTAMA;himat;;;;;
TURUNAN DARI: himat;bahimat;;bersungguh-sungguh;;;
UTAMA;i'ih;;ya;;i'ih bujurai;ya benar memang
UTAMA;ibadat;;ibadah, sembahyang;;;
TURUNAN DARI: ibadat;baibadat;;beribadah, bersembahyang;;;
TURUNAN DARI: ibadat;paibadat;;pengibadah, rajin beribadah, rajin sembahyang;;;
TURUNAN DARI: ibadat;paibadatan;;tempat sembahyang;;;
UTAMA;ibarat;;ibarat, tamsil;;;
TURUNAN DARI: ibarat;baibarat;;berpepatah;;;
TURUNAN DARI: ibarat;maibaratakan;;mentamsilkan;;aku maibaratakan lawan diriku sorang;saya mentamsilkan dengan diri saya sendiri
UTAMA;ibik;;(BH) Iih ebek;;;
UTAMA;iblis;;iblis;;;
UTAMA;ibnu;;ibnu;;;
UTAMA;idabul;;prakarsa, olah, perkara, hal;;idabul siapa ini;olah siapa ini
TURUNAN DARI: idabul;baidabul;;berprakarsa, punya olah, berbuat hal;;siapa nang baidabul gawian nangkaya ini;siapa yang berprakarsa pekerjaan seperti ini
TURUNAN DARI: idabul;saidabul;;sepasal, seperkara;;saidabul pulang gawian;sepasal lagi pekerjaan
UTAMA;idah;;(BH) 'iddah (Iih edah);;;
UTAMA;idang;;(BH) nama panggilan bagi wanita muda atau anak gadis;;;
UTAMA;idung;;(BK) hidung;;;
UTAMA;idup;;(BK) hidup;;;
TURUNAN DARI: idup;baidup;;tambah subur, menjadi hidup;;pina baidup kembang nini;kelihatannya tambah hidup kembang yang ini
UTAMA;igal;;(BH) tari (Iih egal);;;
UTAMA;igama;;agama;;;
UTAMA;igat;;(BH) kotor;;;
TURUNAN DARI: igat;baigat;;tambah kotor, mengotori diri;;rasa baigat, jangan baigat;"rasa tambah kotor; jangan mengotori diri"
TURUNAN DARI: igat;maigati;;mengotori;;maigati rumah haja;mengotori rumah saja
UTAMA;igau;;igau;;;
TURUNAN DARI: igau;maigau;;mengigau;;;
UTAMA;igi;;(BH) biji (Iih bigi);;;
UTAMA;igul;;;;;
TURUNAN DARI: igul;igul-igul;;acuh, hirau, perduli;;"kada igul-igul; disuruh igul-igul";"tidak acuh, tidak perduli; disuruh tidak hirau"
UTAMA;igung;;;;;
TURUNAN DARI: igung;maigungakan;;memperlakukan;;ngalih banar maigungakan sidin;sulit sekali memperlakukan beliau (serba salah)
UTAMA;igut;;gigit;;;
TURUNAN DARI: igut;baigut;;saling menggigit;;;
TURUNAN DARI: igut;maigut;;menggigit;;;
TURUNAN DARI: igut;diigut;;digigit;;diigut adupan;digigit anjing
TURUNAN DARI: igut;taigut;;;tergigit;taigut ilat;tergigit lidah
UTAMA;ihlas;;ikhlas;;;
UTAMA;ihwal;;ikhwal;;;
UTAMA;iji I;;;;;
TURUNAN DARI: iji I;maiji-iji;;membelalakkan mata, melebarkan mulut sambil mengatupkan gigi, dengan maksud menghina, mengolok-olok, atau mengejek;;;
UTAMA;iji II;;(BH) Iih igi;;;
UTAMA;ijtihat;;ijtihad;;;
UTAMA;ikal;;keriting;;rambut ikal;rambut keriting
UTAMA;ikam;;engkau, kamu;;kamana ikam;kemana kamu
UTAMA;ikap;;(BH) dekap;;;
TURUNAN DARI: ikap;baikapan;;berdekapan;;;
UTAMA;ikar;;(BH) curang, licik;;;
TURUNAN DARI: ikar;baikar;;main curang;;ikam ni baikar haja;kau ini main curang saja
TURUNAN DARI: ikar;maikari;;mencurangi;;;
UTAMA;ikas;;(BH) batas, hingga;;"mana ikasnya; ikas mana tanah ikam";"mana batasnya; hingga dimana perwatasanmu"
TURUNAN DARI: ikas;maikasi;;;memberi batas, membatasi;;
UTAMA;ikat;;ikat;;;
TURUNAN DARI: ikat;baikat;;berikat;;;
TURUNAN DARI: ikat;maikat;;mengikat;;;
TURUNAN DARI: ikat;taikat;;terikat;;;
UTAMA;ikhram;;ikhram;;;
UTAMA;ikit;;(BH) sedikit;;ikitnya;sedikitnya
TURUNAN DARI: ikit;saikit;;sedikit;;minta saikit;minta sedikit
UTAMA;ikral;;(BK) ikrar;;;
UTAMA;iktikat;;iktikat;;;
UTAMA;ikung;;orang;;panumpang dua ikung;penumpang dua orang
TURUNAN DARI: ikung;baikung;;mempunyai tubuh, berwujud;;hantu kada baikung;hantu tidak berwujud
UTAMA;ilah;;(BH) alasan;;macam-macam ilah;macam-macam alasan
TURUNAN DARI: ilah;bailah;;beralasan;;jangan bailah;jangan beralasan
UTAMA;ilai;;angkat (untuk senjata dsb);;ilai tinggi-tinggi prang ikam nyaman daras kananya;angkat tinggi-tinggi parangmu agar deras kenanya
TURUNAN DARI: ilai;bailai;;(dalam keadaan) terangkat;;lading sudah bailai;pisau sudah terangkat
TURUNAN DARI: ilai;mailai;;mengangkat;;babaya handak mailai cangkul, batis tacalobok;tepat waktu hendak mengangkat cangkul, kaki terperosok
UTAMA;ilan;;;;;
TURUNAN DARI: ilan;mailan;;terjaga, bangun;;guring rancak mailan;tidur sering terjaga
TURUNAN DARI: ilan;tailan;;terbangun, terjaga;;;
UTAMA;ilang;;(BH) kunjung, tandang (Iih elang);;;
UTAMA;ilap;;;;;
TURUNAN DARI: ilap;mailap-ilap;;tidak puas (karna yang dimakan sedikit);;wadai sabuting, dimakan batalu, mailap-ilap ajaah ;kue sepotong, dimakan orang tiga, tidak puas memang
UTAMA;ilas;;saing;;;
TURUNAN DARI: ilas;bailas;;bersaing;;nang badua badingsanak tu bailas banar;yang berdua bersaudara itu bersaing benar
TURUNAN DARI: ilas;bailasan;;saling bersaing;;;
UTAMA;ilat;;lidah;;;
UTAMA;ilayung;;(BH) sejenis pohon seperti pinang, tetapi besar;;tihang ilayung;tiang (rumah) dari ilayung
UTAMA;ilham;;ilham;;;
UTAMA;iling;;(BH) hindar, lepas, gerak;;;
TURUNAN DARI: iling;bailing;;berlepas, menghindar, bergerak;;jangan bailing kupala ngalih aku manggantingkakan;jangan bergerak kepala sulit saya mencukur
UTAMA;ilmu;;ilmu;;;
UTAMA;ilui;;;;;
TURUNAN DARI: ilui;bailui;;berlagu (untuk menangis);;bailui manangislah;berlagu menangis ya
TURUNAN DARI: ilui;ilui-ilui;;berbekas, mengacuhkan;;sudah dihukumakan vato kada ilui-ilui jua;sudah dipukuli toh tidak berbekas juga
UTAMA;ilun;;(BH) lambat;;;
TURUNAN DARI: ilun;bailun;;berlambat-lambat;;makan pina bailun;makan seperti berlambat-lambat
UTAMA;ilung;;ilung (sejenis tumbuhan air yang cepat sekali berkembng, sejenis eceng gondok);;;
UTAMA;imam;;;imam;;
UTAMA;imbah;;(BH) sesudah, setelah, habis (Iih Limbah);;imbah itu;sesudah itu
UTAMA;imbai;;sama-sama;;;
TURUNAN DARI: imbai;baimbai;;bersama, berbareng;;tulak baimbai;pergi bersama
TURUNAN DARI: imbai;maimbai'i ;;membarengi;;;
TURUNAN DARI: imbai;taimbai;;berbarengan;;makan kada taimbai;makan tidak berbarengan
UTAMA;imbal;;tambah, ulang;;;
TURUNAN DARI: imbal;baimbal;;berulang, kambuh;;sakitnya baimbal pulang;sakitnya kambuh lagi
TURUNAN DARI: imbal;maimbali;;menambah, mengulang;;;
TURUNAN DARI: imbal;diimbali;;ditambah, diulang;;;
UTAMA;imbang;;imbang;;;
TURUNAN DARI: imbang;baimbang;;berimbang;;;
UTAMA;imbir;;(BH) ember;;;
UTAMA;imit;;hemat;;iwak sadikit, jadi makan baiimit ;ikan sedikit, karenanya makan berhemat
UTAMA;impa;;(BH) perhatikan;;;
UTAMA;impar;;;;;
TURUNAN DARI: impar;maimpar;;mirip;;maimpar sianu;mirip sianu
UTAMA;impas;;(BH) (persis harga modal, tidak untung tidak rugi);;;
UTAMA;impir;;(BH) emper;;;
UTAMA;impit;;desak, himpit;;;
TURUNAN DARI: impit;baimpit;;berdesakan, berhimpit;;;
UTAMA;impu;;(BH) Iih himpu;;;
UTAMA;inalan;;(BH) sumbat;;;
UTAMA;inanan;;permainan anak-anak;;;
UTAMA;inat;;regang, pegas;;;
TURUNAN DARI: inat;bainatan;;punya daya regang;;;
UTAMA;inca;;;;;
TURUNAN DARI: inca;a'incaan;;pura-pura, main-mainan tidak sungguhan+;;wadai a'incaan ;kue main-mainan
TURUNAN DARI: inca;inca-inca;;pura-pura, umpamanya;;inca-inca ikam ni guruku;umpamanya kau ini guruku
UTAMA;incang;;;;;
TURUNAN DARI: incang;incang erot;;tidak rata, bengkang bengkok;;incang erot kaya ular manyubarang;bengkang bengkok seperti ular menyeberang
UTAMA;incir;;(BH) encer;;;
UTAMA;inciran;;(BH) eceran;;;
TURUNAN DARI: inciran;hainciran;;(berjual) dengan eceran;;kawaja hainciran ;boleh saja dengan eceran
TURUNAN DARI: inciran;maincir;;mengecer;;;
UTAMA;incus;;(BH) becus;;;
UTAMA;inda;;(BH) umpama, ibarat, seperti;;inda bungul;seperti (orang) bodoh
UTAMA;indah;;tidak mau;;indah makan;tidak mau makan
TURUNAN DARI: indah;baindah;;menyatakan tidak mau;;ngalih baindah;sulit menyatakan tidak mau
TURUNAN DARI: indah;taindahakan;;ternyatakan tidak mau;;sudah taindahakan;sudah ternyatakan tidak mau
UTAMA;indan;;roda (motor);;indan motor ampat;roda mobil empat
UTAMA;indangut;;(BH) termenung;;;
UTAMA;indapang;;(BH) sandar;;;
TURUNAN DARI: indapang;baindapang;;bersandar ;;jangan baindapang disia;jangan bersandar disini
UTAMA;indik;;(BH) kate (Iih endek) ;;;
UTAMA;indin;;(BH) beliau;;kamanang ujar indin tadi teh;kemana katanya beliau tadi
UTAMA;inding;;(BK) ;;;
TURUNAN DARI: inding;mainding;;meinding (mendekati orang yang sedang makan, dengan harapan akan diberi);;hingga mainding kada tahu supan;selalu meinding tak tahu malu
UTAMA;indu;;biang;;indu teh;biang teh
UTAMA;indung;;ibu, induk;;;
UTAMA;industri;;industri;;;
UTAMA;inga;;(BH);;;
TURUNAN DARI: inga;inga-inga;;terpesona;;;
UTAMA;ingap;;;;;
TURUNAN DARI: ingap;ingap-ingap;;mengap-mengap;;ingap-ingap hinak;mengao-mengap nafas
UTAMA;ingar;;ingar, terganggu (karna bunyi atau gerakan);;jangan ingar aku meunjun;jangan ingar saya mengail
TURUNAN DARI: ingar;baingar;;membuat ingar;;;
TURUNAN DARI: ingar;maingari;;mengingarkan;;;
UTAMA;ingat;;ingat;;;
TURUNAN DARI: ingat;baingat;;berhati-hati;;baingat bajalan malam;berhati-hati berjalan malam
TURUNAN DARI: ingat;maingati;;memperingatkan;;handak maingati;hendak memperingatkan
TURUNAN DARI: ingat;maingatakan;;mengingatkan;;ngalih maingatakan;sulit mengingatkan
TURUNAN DARI: ingat;taingat;;teringat;;taingat juakah;teringat jugakah
TURUNAN DARI: ingat;kaingatan;;teringat;;kada kaingatan aku;tidak teringat (oleh) saya
TURUNAN DARI: ingat;kada ingat;;senewan, gila;;urang nang kada ingat;orang senewan
UTAMA;inggan;;batas, hingga;;mana inggannya;mana batasnya
UTAMA;inggih;;(BH) ya;;;
UTAMA;inggit;;;;;
TURUNAN DARI: inggit;inggit-inggit;;bimbang, ragu;;rasa inggit-inggit aku nih;rasa ragu saya ini
UTAMA;inggu;;sejenis getah pohon untuk obat;;;
UTAMA;ingil;;(BH) ngilu;;;
UTAMA;ingka;;;;;
TURUNAN DARI: ingka;ingka-ingka;;pincang;;bajalan pina ingka-ingka;berjalan seperti pincang
UTAMA;ingkap;;buka, singkap;;;
UTAMA;ingkar;;ingkar;;;
UTAMA;ingkin;;(BH) Iih engkeh;;;
UTAMA;ingkul;;(BH) engkol;;;
UTAMA;ingkut;;(BH) pegang (Iih pingkut);;;
UTAMA;ingsil;;(BH) engsel;;;
UTAMA;ingsun;;(BH) saya;;;
UTAMA;ingsut;;susut, merosot;;;
TURUNAN DARI: ingsut;baingsut;;berkurang;;napa sagin baingsut;kenapa makin berkurang
UTAMA;ingu;;(BK) pelihara;;;
TURUNAN DARI: ingu;bainguan;;memelihara, beternak (dalam arti kecil-kecilan);;;
TURUNAN DARI: ingu;maingu;;memelihara;;;
UTAMA;inguh;;bau basi;;wadai ni sudah ada inguhnya;kue ini sudah ada bau basinya
TURUNAN DARI: inguh;bainguh;;berbau basi ;;pina bainguh;seperti berbau basi
UTAMA;ingui;;Iih ilui;;;
UTAMA;inguk;;;;;
TURUNAN DARI: inguk;rasa inguk;;rasa kaku, canggung, kikuk;;;
UTAMA;ingun;;(BH) pelihara (Iih ingu);;;
UTAMA;ingur;;(BH) tangis;;;
UTAMA;ini;;ini;;;
TURUNAN DARI: ini;naini;;(BK) yang ini;;;
TURUNAN DARI: ini;ngini;;(BH) yang ini;;;
UTAMA;injam;;pinjam;;;
TURUNAN DARI: injam;bainjaman ;;saling meminjam;;;
TURUNAN DARI: injam;mainjam;;meminjam ;;;
TURUNAN DARI: injam;diinjam ;;dipinjam ;;;
TURUNAN DARI: injam;painjaman;;tempat meminjam, suka meminjam;;sidin ni pang painjamanku;beliau inilah tempatku meminjam 
TURUNAN DARI: injam;ainjaman;;(barang) yang selalu dipinjam;;jadi ainjaman urang;menjadi barang yang selalu dipinjam orang
UTAMA;injin;;mesin penggosokan intan;;;
UTAMA;inlus;;(BH) beres;;;
UTAMA;insan;;insan;;;
UTAMA;insap;;insyaf;;;
UTAMA;insinyur;;insinyur;;;
UTAMA;inspiksi;;(BH) inspeksi;;;
UTAMA;instruksi;;instruksi;;;
UTAMA;inta;;(BH) minta (Iih minta) ;;;
UTAMA;intah;;(BH) cucu dari cucu;;;
UTAMA;intai;;intai, intip;;;
TURUNAN DARI: intai;maintai;;mengintai, mengintip;;;
TURUNAN DARI: intai;diintai;;diintai, diintip;;;
UTAMA;intan;;intan;;;
UTAMA;intang;;(BH) sekitar, lekat (Iih pintang);;;
UTAMA;intarnir;;(BH) internir, tahanan;;;
UTAMA;intik;;keaadan letak sesuatu sedemikian rupa;;;
UTAMA;intil;;hingga hampir jatuh atau mudah terjatuh, atau mudah diambil orang;;;
TURUNAN DARI: intil;maintil;;meletakkan sesuatu yang sangat intil;;maintilnya maandak gelas gugur kena;intilnya meletakkan gelas jatuh nanti
UTAMA;inting;;(BH) enteng, sepele;;cah, inting haja nia;cih, enteng saja ini
UTAMA;intip;;(BH) intip;;;
UTAMA;intu;;(BH) begitu;;;
UTAMA;inya;;dia, ia;;kamana inya?;kemana dia?
UTAMA;ipar;;ipar;;;
TURUNAN DARI: ipar;baripar;;beripar, hubungan ipar;;;
UTAMA;ipau;;(BH) dompet;;kahilangan ipau;kehilangan dompet
UTAMA;ipi;;ambil, pungut, pilih;;;
TURUNAN DARI: ipi;maipii;;mengambil, memungut, memilih;;maipii banih dalam baras;memungut padi dalam beras
TURUNAN DARI: ipi;diipii;;dipungut, dipilih, diambil;;;
TURUNAN DARI: ipi;taipii;;terpungut, terambil;;kada taipii lagi ;tidak terpungut lagi
UTAMA;ipuk;;(BH) pundi-pundi, dompet;;;
UTAMA;iradat;;iradat;;;
UTAMA;irik;;;;;
TURUNAN DARI: irik;bairik;;beramai-ramai memisahkan butir padi dari tangkainya dengan menginjak-injak;;;
TURUNAN DARI: irik;mairik;;memisahkan butir-butir padi dari tangkainya dengan menginjak dan menggesekkan kaki;;;
UTAMA;iring;;iring;;;
TURUNAN DARI: iring;bairingan;;beriringan;;;
TURUNAN DARI: iring;mairingi;;mengiringi;;;
UTAMA;irung;;(BH) hidung (untuk sapi) ;;;
UTAMA;irupah;;(BH) eropah;;;
UTAMA;irut;;(BH) menceng, tidak rata;;;
TURUNAN DARI: irut;incang irut;;menceng-menceng;;;
UTAMA;is;;(BH) es;;;
UTAMA;isa;;isya;;;
UTAMA;isak;;;;;
TURUNAN DARI: isak;isak-isak;;terisak-isak, tersedu-sedu;;isak-isak manangis;terisak-isak menangis
UTAMA;isap;;isap;;;
TURUNAN DARI: isap;baisap;;dengan cara mengisap;;kakanakan katuju makan baisap ;anak-anak senang makan dengan cara mengisap
TURUNAN DARI: isap;maisap;;mengisap;;maisap ruku;mengisap rokok
TURUNAN DARI: isap;isapan;;pengisap;;;
UTAMA;isarat;;isyarat;;;
UTAMA;isi;;isi;;;
TURUNAN DARI: isi;baisi;;mempunyai, berpunya, berada, berisi;;adakah baisi duit;adakah mempunyai uang
TURUNAN DARI: isi;maisi'i ;;mengisi, memberi isi;;maisi'i tajau;mengisi belanga
TURUNAN DARI: isi;diisi'i;;diisi;;;
UTAMA;isim;;bacaan ayat-ayat al-qur'an untuk menolak setan;;;
UTAMA;iskaya;;(BK) berdaya, kuat, sehat;;awak kada iskaya ;badan tidak kuat
UTAMA;islam;;islam;;;
UTAMA;istana;;istana;;;
UTAMA;istiadat;;istiadat;;;
UTAMA;istil;;(BH) Iih estel;;;
UTAMA;istilah;;yang namanya;;istilah urang pintar haratai pander ;yang namanya orang pandai (tentu saja) hebat bicara
TURUNAN DARI: istilah;baistilah;;berencana, bepersiapan;;kena kita baistilah bujur-bujur ;nanti kita berencana benar benar
UTAMA;istimiwa;;istimewa;;;
UTAMA;istirahat;;istirahat;;;
UTAMA;isuk;;besok;;isuk tulak;besok berangkat
TURUNAN DARI: isuk;baisukan;;pagi-pagi;;baisukan isuk;pagi-pagi besok
TURUNAN DARI: isuk;diam isuk;;lusa;;;
UTAMA;isur;;(BH) geser, angkat;;;
TURUNAN DARI: isur;baisur;;bergeser, berangkat;;;
UTAMA;itih;;teliti;;;
TURUNAN DARI: itih;maitihi;;meneliti, memperhatikan;;;
TURUNAN DARI: itih;paitihan;;lokek, medi, kikir, pelit;;;
UTAMA;itik;;itik, bebek;;;
TURUNAN DARI: itik;baitik;;beternak itik;;;
TURUNAN DARI: itik;maitik;;memelihara itik, memakan itik;;;
UTAMA;itikat;;i'tikat;;;
UTAMA;itu;;itu;;;
TURUNAN DARI: itu;nangitu;;yang itu;;;
TURUNAN DARI: itu;naitu;;(BH) yang itu;;;
UTAMA;ituh;;itu, yang itu;;;
UTAMA;ituk;;(BH) ambil;;;
UTAMA;itung;;(BK) hitung;;;
TURUNAN DARI: itung;baitung;;berhitung, menghitung;;;
TURUNAN DARI: itung;paitungan;;selalu menghitung rugi laba, tidak mau kurang lebih;;;
UTAMA;iwak;;ikan;;;
TURUNAN DARI: iwak;baiwak;;berikan, dengan ikan;;makan kada baiwak;makan tidak dengan ikan
TURUNAN DARI: iwak;maiwak;;mencari ikan;;;
TURUNAN DARI: iwak;paiwakan;;nelayan, penjual ikan;;;
UTAMA;iwit;;bibit, turunan (untuk manusia dan binatang);;ayam iwit;ayam bibit
TURUNAN DARI: iwit;maiwit;;menurun;;maiwit nang bapa;menurut sang ayah
UTAMA;iya;;ya, betul, benar;;iya kalu?;betul bukan? 
UTAMA;iyaya;;seruan yang menyatakan jijik;;;
UTAMA;ja;;saja;;aku ja;saya saja
UTAMA;jaba;;turunan raja yang telah jauh sekali sehingga jadi orang kebanyakan;;;
UTAMA;jabak;;(BH) jebak, perangkap;;;
UTAMA;jabang;;alat penyimpan senjata;;;
UTAMA;jabat;;jabat;;;
UTAMA;jabik;;(BH) jambang;;;
UTAMA;jabis;;bulu dada;;;
UTAMA;jabuk;;lapuk;;;
UTAMA;jabul;;banyak keluar asap;;;
TURUNAN DARI: jabul;bajabul;;berasap banyak;;;
UTAMA;jabur;;(kitab) jabur;;;
UTAMA;jadah;;jadah;;anak jadah;anak jadah
UTAMA;jadam;;semacam damar untuk obat;;;
UTAMA;jadi;;jadi;;kada jadi;tidak jadi
TURUNAN DARI: jadi;bajadian;;berkejadian, akan terjadi sesuatu;;jangan dituha'i kena bajadian;jangan dicampuri yang tua nanti berkejadian
TURUNAN DARI: jadi;manjadiakan;;menjadikan;;;
TURUNAN DARI: jadi;panjadian;;hantu (dari orang yang mati);;;
TURUNAN DARI: jadi;sapanjadi;;sekaligus;;;
UTAMA;jaga;;jaga;;;
TURUNAN DARI: jaga;bajagaan;;berjaga-jaga, bergadang;;;
TURUNAN DARI: jaga;manjaga;;menjaga, menghadang, menyanggul;;;
UTAMA;jagat;;jagat, dunia;;;
UTAMA;jagau;;jago;;;
UTAMA;jagung;;jagung;;;
UTAMA;jagur;;(badan) besar tinggi;;;
UTAMA;jah;;(BH) wah, oh (kata seru) ;;jah kau kah;oh engkau kah
UTAMA;jahai;;habis;;udah jahai;sudah habis
TURUNAN DARI: jahai;manjahai;;membongkar;;;
UTAMA;jahanam;;jahanam;;;
UTAMA;jahil;;jahil;;;
UTAMA;jahit;;jahit;;;
TURUNAN DARI: jahit;bajajahit;;menjahit-jahit;;;
TURUNAN DARI: jahit;bajahitan;;bekerja menjahit (tukang jahit);;;
TURUNAN DARI: jahit;manjahit;;menjahit;;;
UTAMA;jai;;jahe;;banyu jai;air jahe
UTAMA;jajar;;jajar;;;
TURUNAN DARI: jajar;tajajar;;terjajar;;;
UTAMA;jajung;;(BH) selesai;;;
UTAMA;jaka;;jika;;;
UTAMA;jakar;;jakar, kemaluan priya;;;
UTAMA;kukus;;" n kukus; asap";;;
